"Id","SalePrice"
1461,119879.458893254
1462,165980.660017722
1463,178327.398175108
1464,193169.70897387
1465,183609.499404789
1466,171461.224314857
1467,176187.231056314
1468,165579.48849224
1469,194173.210026407
1470,125553.680769326
1471,185005.347763872
1472,96224.9863359473
1473,96036.952527667
1474,148343.394794277
1475,118207.893474265
1476,359986.761097998
1477,262554.120343052
1478,278179.215075775
1479,253267.480686778
1480,417018.787660943
1481,372615.969371903
1482,202182.751407744
1483,182717.912484519
1484,166450.431696387
1485,195591.082692815
1486,196600.145104382
1487,328009.650333604
1488,237569.619009946
1489,193826.293772679
1490,249299.701449582
1491,188118.664641826
1492,100771.586805341
1493,169814.489971528
1494,296340.299531397
1495,306741.132016695
1496,238228.535708224
1497,177343.265656781
1498,165587.213785434
1499,171799.084823854
1500,157424.769841088
1501,172173.789465579
1502,162147.04772949
1503,316122.107918086
1504,259976.42649276
1505,235194.886909662
1506,197436.36528918
1507,237791.877759385
1508,191067.379314846
1509,161848.71463355
1510,150083.647559817
1511,143129.948173557
1512,172177.57434946
1513,138074.646001647
1514,146519.335520603
1515,168556.534111181
1516,144563.812808361
1517,155967.614426478
1518,137461.156498076
1519,197052.252286947
1520,135005.266605636
1521,132409.144282277
1522,161769.025509008
1523,119553.81144568
1524,129349.594632202
1525,126125.630047107
1526,115924.933280471
1527,103835.121907678
1528,125307.353566374
1529,151464.857316902
1530,166828.667721245
1531,102323.902643474
1532,94913.611070187
1533,161191.143416443
1534,117689.709651627
1535,148608.021231396
1536,113620.394819193
1537,58237.7060900518
1538,159686.963223203
1539,209582.041845222
1540,81134.3319093344
1541,141788.425416997
1542,142182.417195213
1543,204080.942007566
1544,86775.1834538553
1545,114327.112957139
1546,125675.280075011
1547,130456.006171719
1548,138872.694576603
1549,110320.703102447
1550,142092.879376962
1551,110018.131408614
1552,143397.052117127
1553,148916.160116673
1554,116853.290751878
1555,171898.44500955
1556,97225.7684408468
1557,112400.50940877
1558,89657.3149133003
1559,79100.7851513498
1560,135481.230433679
1561,110580.096510793
1562,126383.213924522
1563,120664.326166053
1564,158973.235911783
1565,140259.673494111
1566,230075.834029561
1567,78344.631965536
1568,246027.53121195
1569,129244.867663575
1570,136906.982224092
1571,118182.179077033
1572,145453.411226447
1573,230337.62107215
1574,114907.616835462
1575,225376.60347682
1576,228960.500216906
1577,173600.18572751
1578,144308.346698507
1579,145737.194494616
1580,181206.013264879
1581,149150.416331042
1582,138421.669445784
1583,317775.46736076
1584,234440.853802637
1585,146514.33562838
1586,64245.9591210283
1587,99834.305127663
1588,157192.558820595
1589,97985.0130288106
1590,137481.363946122
1591,101216.485959401
1592,102790.020003159
1593,114167.29407895
1594,156060.108110711
1595,106851.355904262
1596,253493.994589074
1597,188772.393629738
1598,202932.422385461
1599,161064.203305469
1600,153868.388533859
1601,52869.4295991694
1602,103236.541497577
1603,98746.6482720449
1604,312227.792489908
1605,226026.143877786
1606,180077.232373578
1607,154411.401471873
1608,203804.667785956
1609,173983.850656536
1610,146195.231917959
1611,141498.693399012
1612,156408.73822905
1613,162897.542120801
1614,137209.010207339
1615,99400.6710186376
1616,84107.6763974054
